Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0,305.0,305.0,305.0,305.0
150,305.0,308.01,305.25,308.125
300,305.0,311.08,305.67,311.25
450,305.0,314.17,306.2,314.375
600,305.0,317.26,306.8,317.5
750,305.01,320.35,307.47,320.625
900,305.03,323.44,308.19,323.75
1050,305.08,326.54,308.97,326.875
1200,305.14,329.64,309.79,330.0
1350,305.23,332.73,310.66,333.125
1500,305.36,335.83,311.58,336.25
1650,305.52,338.93,312.53,339.375
1800,305.71,342.03,313.51,342.5
1950,305.95,345.13,314.54,345.625
2100,306.22,348.24,315.6,348.75
2250,306.54,351.35,316.67,351.875
2400,306.89,354.45,317.77,355.0
2550,307.29,357.55,318.9,358.125
2700,307.72,360.65,320.07,361.25
2850,308.19,363.76,321.27,364.375
3000,308.7,366.86,322.5,367.5
3150,309.24,369.96,323.77,370.625
3300,309.83,373.07,325.06,373.75
3450,310.45,376.17,326.38,376.875
3600,311.11,379.28,327.72,380.0
3750,311.8,382.39,329.1,383.125
3900,312.54,385.49,330.5,386.25
4050,313.3,388.6,331.93,389.375
4200,314.11,391.7,333.39,392.5
4350,314.95,394.83,334.86,395.625
4500,315.81,397.94,336.31,398.75
4650,316.7,401.04,337.79,401.875
4800,317.63,404.15,339.31,405.0
4950,318.58,407.26,340.85,408.125
5100,319.57,410.36,342.41,411.25
5250,320.58,413.47,344.0,414.375
5400,321.63,416.58,345.62,417.5
5550,322.7,419.69,347.25,420.625
5700,323.8,422.8,348.91,423.75
5850,324.93,425.91,350.6,426.875
6000,326.09,429.02,352.3,430.0
6150,327.28,432.13,354.03,433.125
6300,328.49,435.24,355.77,436.25
6450,329.74,438.35,357.54,439.375
6600,330.99,441.47,359.31,442.5
6750,332.27,444.59,361.08,445.625
6900,333.56,447.7,362.87,448.75
7050,334.88,450.81,364.68,451.875
7200,336.22,453.92,366.5,455.0
7350,337.59,454.02,368.11,455.0
7500,338.98,454.05,369.57,455.0
7650,340.39,454.08,370.96,455.0
7800,341.83,454.1,372.29,455.0
7950,343.28,454.12,373.57,455.0
8100,344.75,454.14,374.82,455.0
8250,346.22,454.15,376.03,455.0
8400,347.7,454.17,377.21,455.0
8550,349.18,454.18,378.37,455.0
8700,350.65,454.2,379.5,455.0
8850,352.11,454.21,380.61,455.0
9000,353.56,454.22,381.7,455.0
9150,355.0,454.23,382.78,455.0
9300,356.42,454.24,383.83,455.0
9450,357.83,454.26,384.87,455.0
9600,359.22,454.27,385.89,455.0
9750,360.59,454.28,386.89,455.0
9900,361.95,454.29,387.88,455.0
10050,363.29,454.3,388.85,455.0
10200,364.61,454.31,389.81,455.0
10350,365.91,454.32,390.76,455.0
10500,367.2,454.33,391.69,455.0
10650,368.46,454.34,392.6,455.0
10800,369.71,454.35,393.51,455.0
10950,370.95,454.36,394.4,455.0
11100,372.16,454.37,395.27,455.0
11250,373.36,454.38,396.14,455.0
11400,374.54,454.39,396.99,455.0
11550,375.69,454.4,397.83,455.0
11700,376.77,454.41,398.66,455.0
11850,377.84,454.42,399.47,455.0
12000,378.9,454.43,400.26,455.0
12150,379.94,454.43,401.03,455.0
12300,380.97,454.44,401.79,455.0
12450,381.99,454.45,402.54,455.0
12600,383.0,454.46,403.28,455.0
12750,384.0,454.47,404.01,455.0
12900,384.98,454.47,404.72,455.0
13050,385.96,454.48,405.43,455.0
13200,386.91,454.49,406.12,455.0
13350,387.86,454.5,406.81,455.0
13500,388.8,454.5,407.48,455.0
13650,389.72,454.51,408.15,455.0
13800,390.63,454.52,408.8,455.0
13950,391.53,454.52,409.45,455.0
14100,392.41,454.53,410.08,455.0
14250,393.28,454.54,410.71,455.0
14400,394.15,454.54,411.33,455.0
