Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0,309.0777525028281,309.0777525028281,309.0777525028281,309.0777525028281
150,309.0777525028281,309.0777525028281,309.0777525028281,309.0777525028281
300,309.0777525028281,309.0777525028281,309.0777525028281,309.0777525028281
450,309.0777525028281,309.0777525028281,309.0777525028281,309.0777525028281
600,309.0777525028281,309.0777525028281,309.0777525028281,309.0777525028281
750,309.0777525028281,309.0777525028281,309.0777525028281,309.0777525028281
900,309.0777525028281,309.0777525028281,309.0777525028281,309.0777525028281
1050,309.0777525028281,309.0777525028281,309.0777525028281,309.0777525028281
1200,309.0777525028281,309.0777525028281,309.0777525028281,309.0777525028281
1350,309.0777525028281,309.0777525028281,309.0777525028281,309.0777525028281
1350,309.0777525028281,309.0777525028281,309.0777525028281,309.0777525028281
1500,309.08,308.16,309.0,308.12644698053674
1650,309.08,308.25,308.95,308.26295890316266
1800,309.08,310.18,309.1,310.2292789751444
1950,309.08,310.61,309.23,310.60423442487985
2100,309.08,309.37,309.15,309.4115164446044
2250,309.08,312.83,309.43,312.98772708284355
2400,309.07,315.94,309.94,316.0428836318772
2550,309.08,315.86,310.15,315.9968365775702
2700,309.08,316.9,310.48,316.97315404084543
2850,309.1,317.06,310.63,317.2128471982033
3000,309.12,320.09,311.09,320.2868274242573
3150,309.16,320.16,311.45,320.23877699432126
3300,309.21,321.24,311.68,321.4618366426642
3450,309.28,323.57,312.21,323.74417677176416
3600,309.36,323.54,312.53,323.68919912872866
3750,309.46,325.42,312.92,325.6569325709468
3900,309.57,324.86,313.26,324.95834094055704
4050,309.7,324.71,313.45,324.8598826009148
4200,309.84,327.33,313.88,327.58321440629186
4350,310.0,329.38,314.42,329.6234718556214
4500,310.17,330.47,314.9,330.69956037216105
4650,310.35,330.77,315.3,330.97454366465286
4800,310.55,335.68,316.04,336.07531818939725
4950,310.76,333.64,316.45,333.8116325594664
5100,310.98,338.24,317.16,338.6101750173746
5250,311.22,340.77,317.95,341.1092511089373
5400,311.48,340.71,318.51,341.01938031396554
5550,311.75,342.05,319.12,342.3624622479014
5700,312.05,342.18,319.64,342.4501362807916
5850,312.36,342.41,320.07,342.7540765407324
6000,312.7,346.42,320.86,346.831738377557
6150,313.05,349.67,321.75,350.106596903985
6300,313.42,350.54,322.56,350.85015148394706
6450,313.8,348.21,322.93,348.4753237701114
6600,314.2,349.65,323.42,350.05621890357946
6750,314.62,353.13,324.28,353.5426134029108
6900,315.06,354.07,324.99,354.4323807478148
7050,315.51,353.81,325.55,354.1371436081896
7200,315.97,358.11,326.33,358.66873153221576
7350,316.44,356.34,327.05,356.53685705175127
7500,316.92,357.12,327.47,357.5678175537243
7650,317.42,358.4,328.19,358.76257559088486
7800,317.92,360.34,328.88,360.7754529418674
7950,318.44,363.49,329.77,363.9843762818795
8100,318.96,364.87,330.61,365.3210468100516
8250,319.5,364.66,331.29,365.0533270252544
8400,320.04,368.55,332.2,369.0966955033121
8550,320.59,369.77,333.09,370.244787848344
8700,321.16,371.07,333.93,371.5386773885174
8850,321.74,370.59,334.6,371.0611053770455
9000,322.34,374.48,335.59,375.0001931025306
9150,322.94,375.71,336.46,376.2707693016737
9300,323.57,379.56,337.61,380.0819979321435
9450,324.2,378.67,338.38,379.1736502852252
9600,324.85,379.54,339.22,380.0032099914871
9750,325.52,378.46,339.86,378.87838110114063
9900,326.2,378.62,340.46,379.1111015607014
10050,326.89,380.79,341.31,381.2687486141704
10200,327.6,381.83,342.1,382.32875391651777
10350,328.31,384.42,343.01,384.9911696429744
10500,329.03,385.75,343.97,386.2390341107221
10650,329.75,385.67,344.72,386.1583862886452
10800,330.48,387.28,345.55,387.8170054963456
10950,331.21,389.29,346.49,389.8459324965927
11100,331.95,391.57,347.49,392.1527064958812
11250,332.7,391.3,348.35,391.77571321954775
11400,333.45,393.83,349.26,394.4388209990473
11550,334.21,395.34,350.27,395.9024726257383
11700,334.98,398.68,351.37,399.33717955627486
11850,335.74,397.68,352.22,398.1632516830872
12000,336.5,398.84,353.05,399.391151724067
12150,337.27,398.18,353.79,398.6572883641594
12300,338.06,399.16,354.56,399.7041222170925
12450,338.85,403.58,355.68,404.1943504066886
12600,339.65,404.1,356.62,404.68933015110497
12750,340.45,406.31,357.67,406.8753529584032
12900,341.25,406.39,358.5,407.0484995821439
13050,342.06,411.32,359.81,411.92388384578976
13200,342.88,410.49,360.69,411.1172628980724
13350,343.71,412.34,361.74,412.91143088964793
13500,344.54,412.01,362.58,412.5944732946837
13650,345.39,414.08,363.56,414.7187909830749
13800,346.24,416.3,364.65,416.9236665964737
13950,347.11,415.9,365.57,416.4355017699237
14100,347.98,415.1,366.3,415.6460154835453
14250,348.86,416.51,367.16,417.1085767572613
14400,349.74,417.83,368.11,418.40688252088455
14550,350.63,420.78,369.15,421.4689119037094
14700,351.52,422.5,370.27,423.1188106988262
14850,352.42,423.61,371.27,424.24235843767246
15000,353.31,423.46,372.19,424.0251372396929
15150,354.21,427.76,373.34,428.5122913380937
15300,355.12,429.31,374.53,429.96386130240273
15450,356.03,429.62,375.54,430.2422606317334
15600,356.94,432.88,376.72,433.6164600192154
15750,357.86,430.71,377.6,431.2520410699422
