Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0,225.0,225.0,225.0,225.0
150,225.0,237.02,226.05,237.5
300,225.0,249.32,227.81,250.0
450,225.0,261.66,229.98,262.5
600,225.02,274.02,232.46,275.0
750,225.08,286.39,235.19,287.5
900,225.21,298.76,238.17,300.0
1050,225.43,311.14,241.37,312.5
1200,225.77,323.55,244.69,325.0
1350,226.25,335.93,248.2,337.5
1500,226.87,348.32,251.9,350.0
1650,227.65,360.76,255.73,362.5
1800,228.58,373.15,259.64,375.0
1950,229.68,373.52,262.72,375.0
2100,230.93,373.62,265.29,375.0
2250,232.35,373.68,267.6,375.0
2400,233.92,373.73,269.73,375.0
2550,235.62,373.77,271.73,375.0
2700,237.42,373.81,273.62,375.0
2850,239.3,373.84,275.44,375.0
3000,241.24,373.86,277.18,375.0
3150,243.21,373.89,278.87,375.0
3300,245.19,373.91,280.51,375.0
3450,247.18,373.93,282.11,375.0
3600,249.18,373.95,283.67,375.0
3750,251.16,373.97,285.19,375.0
3900,253.12,373.99,286.68,375.0
4050,255.07,374.01,288.14,375.0
4200,257.0,374.03,289.57,375.0
4350,258.9,374.04,290.98,375.0
4500,260.78,374.06,292.36,375.0
4650,262.62,374.09,293.71,375.0
4800,264.36,374.11,295.0,375.0
4950,266.08,374.13,296.26,375.0
5100,267.77,374.14,297.5,375.0
5250,269.43,374.16,298.71,375.0
5400,271.07,374.17,299.9,375.0
5550,272.69,374.18,301.08,375.0
5700,274.28,374.19,302.23,375.0
5850,275.84,374.21,303.37,375.0
6000,277.39,374.22,304.49,375.0
6150,278.91,374.23,305.59,375.0
6300,280.4,374.24,306.67,375.0
6450,281.88,374.26,307.74,375.0
6600,283.33,374.27,308.78,375.0
6750,284.75,374.28,309.82,375.0
6900,286.16,374.29,310.83,375.0
7050,287.55,374.3,311.83,375.0
7200,288.91,374.31,312.82,375.0
7350,290.25,362.29,312.8,362.5
7500,291.57,350.0,312.11,350.0
7650,292.87,337.66,311.0,337.5
7800,294.12,325.31,309.56,325.0
7950,295.3,312.96,307.84,312.5
8100,296.41,300.59,305.87,300.0
8250,297.44,288.22,303.68,287.5
8400,298.35,275.85,301.23,275.0
8550,299.14,263.46,298.59,262.5
8700,299.8,251.08,295.78,250.0
8850,300.29,238.71,292.78,237.5
9000,300.63,226.31,289.55,225.0
9150,300.79,225.94,287.22,225.0
9300,300.78,225.85,285.42,225.0
9450,300.59,225.79,283.89,225.0
9600,300.22,225.74,282.53,225.0
9750,299.71,225.71,281.3,225.0
9900,299.06,225.68,280.16,225.0
10050,298.31,225.66,279.1,225.0
10200,297.47,225.64,278.1,225.0
10350,296.58,225.62,277.15,225.0
10500,295.64,225.6,276.24,225.0
10650,294.68,225.59,275.36,225.0
10800,293.69,225.58,274.51,225.0
10950,292.69,225.57,273.69,225.0
11100,291.69,225.55,272.89,225.0
11250,290.69,225.54,272.1,225.0
11400,289.69,225.53,271.34,225.0
11550,288.7,225.52,270.59,225.0
11700,287.71,225.52,269.86,225.0
11850,286.74,225.51,269.14,225.0
12000,285.77,225.5,268.43,225.0
12150,284.82,225.49,267.74,225.0
12300,283.88,225.48,267.05,225.0
12450,282.95,225.47,266.38,225.0
12600,282.04,225.47,265.72,225.0
12750,281.14,225.46,265.08,225.0
12900,280.25,225.45,264.44,225.0
13050,279.38,225.44,263.81,225.0
13200,278.52,225.44,263.2,225.0
13350,277.67,225.43,262.59,225.0
13500,276.83,225.42,261.99,225.0
13650,276.01,225.42,261.41,225.0
13800,275.2,225.41,260.83,225.0
13950,274.41,225.4,260.26,225.0
14100,273.62,225.4,259.7,225.0
14250,272.85,225.39,259.15,225.0
14400,272.09,225.38,258.61,225.0
