Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0,50.0,50.0,50.0,50.0
150,50.0,56.168,51.14,56.172222222222224
300,50.001,59.171,51.958,59.17555555555556
450,50.008,62.174,52.837,62.17888888888889
600,50.034,64.265,53.631,64.27
750,50.092,65.9,54.334,65.905
900,50.189,67.535,55.036,67.53999999999999
1050,50.329,69.044,55.728,69.04899999999999
1200,50.512,70.3,56.378,70.306
1350,50.734,71.557,57.026,71.56299999999999
1500,50.992,72.814,57.679,72.82
1650,51.282,73.873,58.305,73.87899999999999
1800,51.601,74.932,58.929,74.93799999999999
1950,51.947,75.991,59.556,75.997
2100,52.316,76.937,60.171,76.943
2250,52.705,77.826,60.774,77.8325
2400,53.113,78.716,61.377,78.722
2550,53.538,79.605,61.984,79.61149999999999
2700,53.978,80.495,62.594,80.501
2850,54.431,81.384,63.208,81.3905
3000,54.895,82.273,63.827,82.28
3150,55.371,83.022,64.427,83.0285
3300,55.857,83.77,65.025,83.777
3450,56.352,84.519,65.622,84.5255
3600,56.856,85.267,66.221,85.274
3750,57.367,86.016,66.822,86.0225
3900,57.886,86.764,67.426,86.771
4050,58.41,87.483,68.028,87.49
4200,58.941,88.143,68.619,88.14999999999999
4350,59.477,88.803,69.209,88.81
4500,60.017,89.463,69.799,89.47
4650,60.562,90.123,70.39,90.13
4800,61.111,90.783,70.982,90.79
4950,61.663,91.443,71.574,91.45
5100,62.219,92.061,72.161,92.068
5250,62.777,92.658,72.743,92.665
5400,63.337,93.255,73.323,93.262
5550,63.9,93.852,73.903,93.859
5700,64.465,94.449,74.482,94.456
5850,65.031,95.046,75.062,95.053
6000,65.599,95.643,75.641,95.65
6150,66.168,96.191,76.213,96.1975
6300,66.737,96.738,76.782,96.745
6450,67.308,97.286,77.349,97.2925
6600,67.879,97.833,77.915,97.84
6750,68.45,98.381,78.481,98.3875
6900,69.022,98.928,79.046,98.935
7050,69.593,99.468,79.609,99.475
7200,70.164,99.993,80.169,100.0
7350,70.735,97.941,80.284,97.945
7500,71.306,96.002,80.274,96.006
7650,71.874,94.122,80.194,94.125
7800,72.432,92.242,80.053,92.244
7950,72.974,90.361,79.859,90.363
8100,73.489,88.481,79.619,88.482
8250,73.973,86.6,79.336,86.601
8400,74.42,84.72,79.014,84.72
8550,74.827,83.129,78.705,83.1285
8700,75.192,81.538,78.377,81.537
8850,75.515,79.947,78.026,79.9455
9000,75.795,78.356,77.649,78.354
9150,76.035,76.765,77.249,76.7625
9300,76.233,75.174,76.823,75.17099999999999
9450,76.393,73.679,76.387,73.676
9600,76.515,72.377,75.971,72.374
9750,76.6,71.076,75.543,71.072
9900,76.649,69.774,75.101,69.77000000000001
10050,76.665,68.472,74.644,68.468
10200,76.649,67.171,74.17,67.16600000000001
10350,76.602,65.869,73.68,65.864
10500,76.527,64.76,73.205,64.75500000000001
10650,76.424,63.748,72.744,63.74250000000001
10800,76.294,62.735,72.278,62.73
10950,76.14,61.723,71.805,61.7175
11100,75.962,60.711,71.322,60.705
11250,75.763,59.699,70.83,59.6925
11400,75.544,58.686,70.328,58.68
11550,75.305,57.963,69.866,57.957
11700,75.049,57.24,69.409,57.234
11850,74.776,56.517,68.953,56.511
12000,74.488,55.794,68.494,55.788
12150,74.185,55.071,68.032,55.065
12300,73.87,54.349,67.565,54.342
12450,73.544,53.697,67.105,53.691
12600,73.208,53.19,66.672,53.184
12750,72.862,52.683,66.243,52.677
12900,72.508,52.176,65.817,52.17
13050,72.146,51.816,65.416,51.81
13200,71.777,51.456,65.023,51.45
13350,71.403,51.096,64.635,51.09
13500,71.025,50.83,64.264,50.824
13650,70.645,50.611,63.91,50.605
13800,70.262,50.392,63.563,50.386
13950,69.878,50.219,63.228,50.21333333333334
14100,69.494,50.139,62.918,50.13333333333333
14250,69.111,50.059,62.617,50.053333333333335
14400,68.73,50.005,62.328,50.0
