Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0,200.0,200.0,200.0,200.0
150,200.0,200.0,200.0,200.0
300,200.0,200.0,200.0,200.0
450,200.0,200.0,200.0,200.0
600,200.0,200.0,200.0,200.0
750,200.0,200.0,200.0,200.0
900,200.0,200.0,200.0,200.0
1050,200.0,200.0,200.0,200.0
1200,200.0,200.0,200.0,200.0
1350,200.0,200.0,200.0,200.0
1350,200.0,200.0,200.0,200.0
1500,200.0,202.16,200.22,202.25
1650,200.0,204.38,200.57,204.5
1800,200.0,206.6,200.99,206.75
1950,200.0,208.82,201.47,209.0
2100,200.02,211.05,201.99,211.25
2250,200.04,213.27,202.56,213.5
2400,200.09,215.5,203.17,215.75
2550,200.16,217.73,203.81,218.0
2700,200.25,219.96,204.49,220.25
2850,200.37,222.19,205.2,222.5
3000,200.53,224.42,205.94,224.75
3150,200.71,226.65,206.7,227.0
3300,200.93,226.72,207.28,227.0
3450,201.18,226.74,207.75,227.0
3600,201.47,226.75,208.18,227.0
3750,201.78,226.76,208.58,227.0
3900,202.12,226.77,208.95,227.0
4050,202.48,226.78,209.3,227.0
4200,202.85,226.78,209.64,227.0
4350,203.23,226.79,209.97,227.0
4500,203.62,226.79,210.28,227.0
4650,204.0,226.8,210.59,227.0
4800,204.39,226.8,210.89,227.0
4950,204.78,226.81,211.18,227.0
5100,205.16,226.81,211.46,227.0
5250,205.54,226.81,211.74,227.0
5400,205.91,226.82,212.01,227.0
5550,206.28,226.82,212.28,227.0
5700,206.64,226.82,212.54,227.0
5850,207.0,226.83,212.8,227.0
6000,207.35,226.83,213.05,227.0
6150,207.7,226.83,213.3,227.0
6300,208.04,226.84,213.54,227.0
6450,208.37,226.84,213.78,227.0
6600,208.7,226.84,214.01,227.0
6750,209.02,226.84,214.24,227.0
6900,209.34,226.85,214.47,227.0
7050,209.65,226.85,214.69,227.0
7200,209.96,226.85,214.91,227.0
7350,210.26,226.85,215.12,227.0
7500,210.56,226.86,215.33,227.0
7650,210.85,226.86,215.54,227.0
7800,211.13,226.86,215.74,227.0
7950,211.41,226.86,215.94,227.0
8100,211.69,226.87,216.14,227.0
8250,211.96,226.87,216.33,227.0
8400,212.23,226.87,216.52,227.0
8550,212.49,226.87,216.7,227.0
8700,212.74,224.71,216.66,224.75
8850,213.0,222.5,216.5,222.5
9000,213.24,220.28,216.25,220.25
9150,213.48,218.06,215.95,218.0
9300,213.71,215.84,215.59,215.75
9450,213.92,213.61,215.19,213.5
9600,214.11,211.39,214.74,211.25
9750,214.26,209.16,214.26,209.0
9900,214.39,206.93,213.74,206.75
10050,214.49,204.7,213.19,204.5
10200,214.55,202.48,212.6,202.25
10350,214.57,200.25,211.98,200.0
10500,214.56,200.18,211.56,200.0
10650,214.51,200.16,211.23,200.0
10800,214.43,200.15,210.94,200.0
10950,214.31,200.14,210.68,200.0
11100,214.16,200.14,210.45,200.0
11250,214.0,200.13,210.23,200.0
11400,213.81,200.13,210.02,200.0
11550,213.61,200.12,209.83,200.0
11700,213.41,200.12,209.64,200.0
11850,213.2,200.12,209.46,200.0
12000,212.98,200.12,209.28,200.0
12150,212.77,200.11,209.11,200.0
12300,212.55,200.11,208.95,200.0
12450,212.34,200.11,208.79,200.0
12600,212.13,200.11,208.63,200.0
12750,211.92,200.1,208.47,200.0
12900,211.71,200.1,208.32,200.0
13050,211.51,200.1,208.17,200.0
13200,211.31,200.1,208.03,200.0
13350,211.11,200.1,207.89,200.0
13500,210.91,200.1,207.75,200.0
13650,210.72,200.09,207.61,200.0
13800,210.53,200.09,207.47,200.0
13950,210.34,200.09,207.34,200.0
14100,210.16,200.09,207.21,200.0
14250,209.98,200.09,207.08,200.0
14400,209.81,200.09,206.96,200.0
14550,209.63,200.08,206.84,200.0
14700,209.46,200.08,206.71,200.0
14850,209.29,200.08,206.6,200.0
15000,209.13,200.08,206.48,200.0
15150,208.97,200.08,206.36,200.0
15300,208.81,200.08,206.25,200.0
15450,208.65,200.08,206.14,200.0
15600,208.5,200.07,206.03,200.0
15750,208.35,200.07,205.93,200.0
