Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0,104.788189350054,104.788189350054,104.788189350054,104.788189350054
150,104.79,122.08,106.43,122.77259287566376
300,104.79,141.12,109.27,142.16749427864
450,104.8,160.53,112.87,161.82547157966624
600,104.87,179.09,116.93,180.599102799426
750,105.06,197.3,121.35,198.98096024948777
900,105.43,213.42,125.89,215.188538377353
1050,106.01,229.6,130.59,231.58923521463424
1200,106.86,248.39,135.73,250.550448792944
1350,107.96,268.4,141.33,270.80521060931903
1500,109.34,288.36,147.26,290.9018560634985
1650,110.98,302.22,153.07,304.49407709967903
1800,112.9,303.17,157.49,305.235565662057
1950,115.09,301.89,161.15,303.754606597761
2100,117.56,303.04,164.55,304.9104016792925
2250,120.26,304.58,167.89,306.35660522310377
2400,123.15,304.05,170.89,305.746871545647
2550,126.15,305.53,173.86,307.2486138677985
2700,129.24,304.44,176.61,305.999932947187
2850,132.38,302.34,179.01,303.8382948030348
3000,135.43,301.18,181.24,302.601165454564
3150,138.43,299.92,183.32,301.284066583615
3300,141.41,301.4,185.52,302.866351448301
3450,144.35,303.78,187.94,305.2233564361257
3600,147.23,304.8,190.27,306.230417934593
3750,150.07,302.81,192.31,304.0983219974248
3900,152.87,300.83,194.16,302.057104819001
4050,155.62,299.83,195.94,301.07788269628327
4200,158.33,300.87,197.9,302.131771926233
4350,160.99,300.26,199.76,301.45488328710576
4500,163.59,300.53,201.6,301.7386480805005
4650,166.15,301.36,203.5,302.56620209320675
4800,168.65,302.32,205.42,303.520681112014
4950,171.1,302.87,207.31,304.04302672856727
5100,173.51,302.81,209.13,303.93826842979297
5250,175.87,303.33,210.9,304.495289391334
5400,178.19,305.81,212.87,307.002972788833
5550,180.32,303.83,214.49,304.859055847375
5700,182.41,304.73,216.1,305.846698931638
5850,184.47,305.9,217.86,306.9371539434345
6000,186.51,304.13,219.31,305.101672784577
6150,188.53,305.96,220.92,307.021581835194
6300,190.53,303.92,222.35,304.79360390128704
6450,192.5,301.85,223.47,302.79648682060827
6600,194.44,304.41,224.99,305.40897843091
6750,196.35,302.24,226.25,303.0866320377745
6900,198.24,302.91,227.53,303.843490948355
7050,200.08,304.5,229.02,305.421129991589
7200,201.89,304.67,230.4,305.561123996414
7350,203.67,270.09,228.79,269.5856886386855
7500,205.36,246.83,226.04,246.359765199685
7650,207.0,231.02,223.56,230.457683388973
7800,208.58,217.14,221.08,216.45377291611
7950,210.03,201.72,218.26,200.846462843191
8100,211.32,183.69,214.99,182.533196071313
8250,212.41,166.0,211.2,164.73892489826875
8400,213.27,152.04,207.51,150.688601621851
8550,213.89,134.98,203.47,133.39080944994475
8700,214.27,115.72,198.84,113.839300620262
8850,214.37,102.76,194.12,101.2446328610745
9000,214.21,106.03,191.31,104.817363900654
9150,213.77,104.76,188.85,103.5249681422895
9300,213.05,106.26,186.79,105.21104975460948
9450,212.09,106.64,185.08,105.4982495790465
9600,210.92,101.24,182.84,100.009208457033
9750,209.6,103.74,181.15,102.77699706971252
9900,208.16,104.51,179.69,103.547192796231
10050,206.64,104.41,178.2,103.46792697095026
10200,205.06,104.6,176.8,103.687330928232
10350,203.45,106.36,175.6,105.54279110370976
10500,201.82,105.29,174.31,104.37052614318152
10650,200.18,104.33,172.87,103.504309432642
10800,198.54,107.01,171.84,106.277914358086
10950,196.92,105.25,170.59,104.39762151178526
11100,195.28,102.95,169.11,102.028479547919
11250,193.64,101.43,167.57,100.56632523098176
11400,192.02,102.22,166.3,101.406995325468
11550,190.42,105.36,165.36,104.68229703171376
11700,188.83,105.54,164.4,104.780976105426
11850,187.26,103.95,163.18,103.14635835866876
12000,185.71,102.04,161.84,101.221769603506
12150,184.19,103.07,160.72,102.35219004317123
12300,182.7,104.46,159.76,103.79405528327
12450,181.23,104.75,158.84,104.02782579353376
12600,179.78,102.3,157.61,101.533962043694
12750,178.36,105.39,156.77,104.8140515507855
12900,176.97,104.63,155.88,103.9251057531805
13050,175.6,103.88,154.76,103.2919462740075
13200,174.26,107.82,154.19,107.339394736395
13350,172.94,104.16,153.13,103.44921820421474
13500,171.66,104.69,152.13,104.13824641323
13650,170.4,105.6,151.41,104.970324053312
13800,169.17,102.21,150.24,101.509295814332
13950,167.96,102.7,149.26,102.10231299197974
14100,166.77,102.14,148.31,101.5144465470105
14250,165.61,102.4,147.37,101.882640564463
14400,164.46,105.77,146.85,105.343839129376
