Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0,440.0,440.0,440.0,440.0
150,440.0,441.67,440.26,441.6666666666667
300,440.0,443.33,440.6,443.3333333333333
450,440.0,445.0,440.99,445.0
600,440.0,446.66,441.42,446.6666666666667
750,440.0,448.33,441.87,448.3333333333333
900,440.01,450.0,442.35,450.0
1050,440.03,451.66,442.86,451.6666666666667
1200,440.05,453.33,443.39,453.3333333333333
1350,440.08,454.99,443.94,455.0
1500,440.13,456.66,444.5,456.6666666666667
1650,440.2,458.33,445.09,458.3333333333333
1800,440.28,459.99,445.69,460.0
1950,440.38,460.0,446.05,460.0
2100,440.49,460.0,446.35,460.0
2250,440.63,460.0,446.61,460.0
2400,440.78,460.0,446.85,460.0
2550,440.95,460.0,447.08,460.0
2700,441.14,460.0,447.29,460.0
2850,441.33,460.0,447.5,460.0
3000,441.54,460.0,447.69,460.0
3150,441.76,460.0,447.88,460.0
3300,441.98,460.0,448.06,460.0
3450,442.2,460.0,448.24,460.0
3600,442.43,460.0,448.41,460.0
3750,442.65,460.0,448.58,460.0
3900,442.88,460.0,448.75,460.0
4050,443.11,460.0,448.91,460.0
4200,443.33,460.0,449.07,460.0
4350,443.56,460.0,449.22,460.0
4500,443.78,460.0,449.37,460.0
4650,444.0,460.0,449.52,460.0
4800,444.22,460.0,449.67,460.0
4950,444.44,460.0,449.81,460.0
5100,444.66,460.0,449.96,460.0
5250,444.87,460.0,450.1,460.0
5400,445.08,460.0,450.24,460.0
5550,445.28,460.0,450.37,460.0
5700,445.49,460.0,450.51,460.0
5850,445.69,460.0,450.64,460.0
6000,445.89,460.0,450.77,460.0
6150,446.08,460.0,450.9,460.0
6300,446.28,460.0,451.03,460.0
6450,446.47,460.0,451.15,460.0
6600,446.66,460.0,451.28,460.0
6750,446.84,460.0,451.4,460.0
6900,447.03,460.0,451.52,460.0
7050,447.21,460.0,451.64,460.0
7200,447.39,460.0,451.75,460.0
7350,447.56,458.33,451.6,458.3333333333333
7500,447.73,456.67,451.38,456.6666666666667
7650,447.9,455.0,451.1,455.0
7800,448.07,453.33,450.79,453.3333333333333
7950,448.24,451.67,450.44,451.6666666666667
8100,448.39,450.0,450.07,450.0
8250,448.54,448.34,449.66,448.3333333333333
8400,448.68,446.67,449.24,446.6666666666667
8550,448.8,445.0,448.79,445.0
8700,448.9,443.34,448.33,443.3333333333333
8850,448.99,441.67,447.84,441.6666666666667
9000,449.06,440.0,447.34,440.0
9150,449.11,440.0,447.08,440.0
9300,449.14,440.0,446.88,440.0
9450,449.15,440.0,446.71,440.0
9600,449.14,440.0,446.56,440.0
9750,449.11,440.0,446.42,440.0
9900,449.06,440.0,446.3,440.0
10050,449.0,440.0,446.18,440.0
10200,448.93,440.0,446.08,440.0
10350,448.85,440.0,445.98,440.0
10500,448.76,440.0,445.88,440.0
10650,448.67,440.0,445.79,440.0
10800,448.57,440.0,445.7,440.0
10950,448.46,440.0,445.61,440.0
11100,448.36,440.0,445.53,440.0
11250,448.26,440.0,445.45,440.0
11400,448.15,440.0,445.37,440.0
11550,448.04,440.0,445.29,440.0
11700,447.94,440.0,445.21,440.0
11850,447.83,440.0,445.14,440.0
12000,447.72,440.0,445.07,440.0
12150,447.62,440.0,444.99,440.0
12300,447.52,440.0,444.92,440.0
12450,447.41,440.0,444.85,440.0
12600,447.31,440.0,444.79,440.0
12750,447.21,440.0,444.72,440.0
12900,447.11,440.0,444.65,440.0
13050,447.01,440.0,444.59,440.0
13200,446.92,440.0,444.52,440.0
13350,446.82,440.0,444.46,440.0
13500,446.72,440.0,444.4,440.0
13650,446.63,440.0,444.34,440.0
13800,446.54,440.0,444.28,440.0
13950,446.45,440.0,444.22,440.0
14100,446.36,440.0,444.16,440.0
14250,446.27,440.0,444.1,440.0
14400,446.18,440.0,444.04,440.0
