Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0,135.0,135.0,135.0,135.0
150,135.0,135.0,135.0,135.0
300,135.0,135.0,135.0,135.0
450,135.0,135.0,135.0,135.0
600,135.0,135.0,135.0,135.0
750,135.0,135.0,135.0,135.0
900,135.0,135.0,135.0,135.0
1050,135.0,135.0,135.0,135.0
1200,135.0,135.0,135.0,135.0
1350,135.0,135.0,135.0,135.0
1350,135.0,135.0,135.0,135.0
1500,135.0,151.14,136.76,151.59572051847528
1650,135.0,156.23,138.09,156.66806657535423
1800,135.02,160.39,139.31,160.84754109953852
1950,135.07,163.54,140.47,163.98142305688933
2100,135.18,166.14,141.55,166.59250873082345
2250,135.37,168.74,142.62,169.20359440475752
2400,135.64,171.11,143.67,171.57722222855523
2550,135.97,173.01,144.68,173.47593435208017
2700,136.38,174.9,145.66,175.3746464756051
2850,136.84,176.79,146.65,177.27335859913
3000,137.35,178.35,147.62,178.81999467806688
3150,137.91,179.89,148.57,180.36663075700372
3300,138.51,181.44,149.48,181.91326683594065
3450,139.14,182.79,150.39,183.26393408467675
3600,139.79,184.04,151.28,184.5166169183125
3750,140.47,185.29,152.18,185.7692997519483
3900,141.17,186.54,153.07,187.02198258558408
4050,141.89,187.79,153.97,188.27466541921984
4200,142.63,189.04,154.87,189.5273482528556
4350,143.38,190.29,155.78,190.78003108649136
4500,144.15,191.31,156.67,191.80043035711336
4650,144.92,192.33,157.56,192.82082962773532
4800,145.71,193.35,158.44,193.84122889835731
4950,146.5,194.37,159.32,194.8616281689793
5100,147.31,195.39,160.2,195.8820274396013
5250,148.12,196.41,161.08,196.9024267102233
5400,148.94,197.38,161.97,197.8748353906992
5550,149.77,198.26,162.84,198.751262890883
5700,150.6,199.14,163.7,199.6276903910668
5850,151.43,200.02,164.56,200.5041178912506
6000,152.27,200.9,165.43,201.3805453914344
6150,153.11,201.77,166.29,202.25697289161812
6300,153.95,202.65,167.15,203.13340039180196
6450,154.8,203.46,168.0,203.9432078308552
6600,155.65,204.24,168.85,204.71970523934323
6750,156.5,205.02,169.69,205.49620264783124
6900,157.35,205.79,170.53,206.27270005631928
7050,158.2,206.57,171.37,207.0491974648073
7200,159.05,207.35,172.2,207.82569487329533
7350,159.9,208.12,173.03,208.60219228178332
7500,160.75,208.83,173.86,209.30436766510812
7650,161.6,209.53,174.68,210.00654304843292
7800,162.45,210.24,175.5,210.7087184317577
7950,163.29,210.94,176.31,211.4108938150825
8100,164.14,211.64,177.12,212.1130691984073
8250,164.98,212.35,177.93,212.8152445817321
8400,165.82,213.04,178.73,213.5051397895549
8550,166.66,213.71,179.53,214.17047464637363
8700,167.5,197.6,178.55,197.5747541278984
8850,168.34,192.51,177.94,192.50240807101943
9000,169.16,188.37,177.41,188.32293354683517
9150,169.94,185.33,176.92,185.2979265686258
9300,170.65,182.89,176.51,182.85015336340396
9450,171.29,180.47,176.1,180.40238015818207
9600,171.84,178.04,175.68,177.95460695296023
9750,172.32,175.61,175.23,175.50683374773837
9900,172.71,174.01,174.83,173.91559466561003
10050,173.04,172.43,174.45,172.32435558348172
10200,173.31,170.85,174.06,170.73311650135338
10350,173.51,169.27,173.67,169.14187741922504
10500,173.66,167.69,173.26,167.55063833709673
10650,173.77,166.12,172.84,165.9593992549684
10800,173.83,164.66,172.4,164.50023011031354
10950,173.85,163.47,171.99,163.3052008406056
11100,173.83,162.28,171.57,162.1101715708977
11250,173.78,161.1,171.15,160.9151423011898
11400,173.69,159.91,170.72,159.72011303148187
11550,173.58,158.72,170.27,158.52508376177397
11700,173.44,157.54,169.82,157.33005449206604
11850,173.28,156.48,169.36,156.2739820371036
12000,173.09,155.5,168.9,155.28738798951386
12150,172.88,154.52,168.45,154.30079394192413
12300,172.66,153.54,167.98,153.31419989433437
12450,172.41,152.56,167.51,152.32760584674463
12600,172.14,151.58,167.03,151.3410117991549
12750,171.86,150.6,166.54,150.35441775156517
12900,171.56,149.75,166.05,149.50070322656066
13050,171.25,148.9,165.56,148.64698870155615
13200,170.92,148.05,165.07,147.79327417655165
13350,170.58,147.2,164.57,146.9395596515471
13500,170.23,146.35,164.07,146.0858451265426
13650,169.87,145.5,163.56,145.2321306015381
13800,169.49,144.67,163.05,144.40299038022616
13950,169.11,143.89,162.54,143.62299876629928
14100,168.71,143.12,162.02,142.84300715237242
14250,168.31,142.34,161.51,142.06301553844557
14400,167.89,141.6,160.99,141.3230796729964
14550,167.47,140.86,160.46,140.5831438075472
14700,167.04,140.13,159.94,139.843207942098
14850,166.61,139.41,159.41,139.1266048504997
15000,166.16,138.71,158.89,138.42166814582686
15150,165.71,138.0,158.36,137.716731441154
15300,165.26,137.31,157.83,137.02161855072265
15450,164.79,136.64,157.3,136.3461532887744
15600,164.33,135.96,156.76,135.67068802682613
15750,163.85,135.29,156.23,135.0
