Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0,100.0,100.0,100.0,100.0
10,100.0,100.534,100.07,100.55555555555556
20,100.0,101.068,100.14,101.11111111111111
30,100.0,101.602,100.21,101.66666666666666
40,100.0,102.136,100.28,102.22222222222221
50,100.0,102.67,100.35,102.77777777777777
60,100.0,103.20400000000001,100.42,103.33333333333333
70,100.0,103.738,100.49,103.88888888888889
80,100.0,104.272,100.56,104.44444444444443
90,100.0,104.806,100.63,104.99999999999999
100,100.0,105.34,100.7,105.55555555555554
110,100.0,105.87400000000001,100.77,106.1111111111111
120,100.0,106.408,100.84,106.66666666666666
130,100.0,106.94200000000001,100.91,107.2222222222222
140,100.0,107.476,100.98,107.77777777777776
150,100.0,108.01,101.05,108.33333333333331
160,100.0,108.55733333333333,101.15466666666667,108.88888888888887
170,100.0,109.10466666666667,101.25933333333333,109.44444444444443
180,100.0,109.652,101.364,109.99999999999999
190,100.0,110.19933333333334,101.46866666666666,110.55555555555554
200,100.0,110.74666666666667,101.57333333333334,111.1111111111111
210,100.0,111.294,101.678,111.66666666666666
220,100.0,111.84133333333334,101.78266666666667,112.22222222222221
230,100.0,112.38866666666667,101.88733333333333,112.77777777777776
240,100.0,112.936,101.992,113.33333333333331
250,100.0,113.48333333333333,102.09666666666666,113.88888888888887
260,100.0,114.03066666666666,102.20133333333334,114.44444444444443
270,100.0,114.578,102.306,114.99999999999999
280,100.0,115.12533333333333,102.41066666666667,115.55555555555554
290,100.0,115.67266666666667,102.51533333333333,116.1111111111111
300,100.0,116.22,102.62,116.66666666666666
310,100.00066666666666,116.768,102.74266666666666,117.22222222222221
320,100.00133333333333,117.316,102.86533333333334,117.77777777777777
330,100.002,117.864,102.988,118.33333333333333
340,100.00266666666667,118.41199999999999,103.11066666666667,118.88888888888889
350,100.00333333333333,118.96,103.23333333333333,119.44444444444444
360,100.004,119.508,103.356,120.0
370,100.00466666666667,120.056,103.47866666666667,120.55555555555556
380,100.00533333333334,120.604,103.60133333333333,121.1111111111111
390,100.006,121.152,103.724,121.66666666666666
400,100.00666666666667,121.7,103.84666666666666,122.22222222222221
410,100.00733333333334,122.24799999999999,103.96933333333332,122.77777777777777
420,100.00800000000001,122.79599999999999,104.092,123.33333333333333
430,100.00866666666667,123.344,104.21466666666666,123.88888888888889
440,100.00933333333334,123.892,104.33733333333333,124.44444444444444
450,100.01,124.44,104.46,125.0
460,100.012,124.98866666666666,104.598,125.55555555555556
470,100.01400000000001,125.53733333333334,104.73599999999999,126.11111111111111
480,100.016,126.086,104.874,126.66666666666666
490,100.018,126.63466666666666,105.012,127.22222222222221
500,100.02000000000001,127.18333333333332,105.14999999999999,127.77777777777777
510,100.022,127.732,105.288,128.33333333333331
520,100.024,128.28066666666666,105.426,128.88888888888889
530,100.02600000000001,128.82933333333332,105.564,129.44444444444443
540,100.028,129.378,105.702,130.0
550,100.03,129.92666666666665,105.84,130.55555555555554
560,100.03200000000001,130.4753333333333,105.978,131.1111111111111
570,100.034,131.024,106.116,131.66666666666666
580,100.036,131.57266666666666,106.254,132.2222222222222
590,100.03800000000001,132.12133333333333,106.392,132.77777777777777
600,100.04,132.67,106.53,133.33333333333331
610,100.046,133.2193333333333,106.68,133.88888888888886
620,100.052,133.76866666666666,106.83,134.44444444444443
630,100.058,134.31799999999998,106.98,134.99999999999997
640,100.06400000000001,134.86733333333333,107.13,135.55555555555554
650,100.07000000000001,135.41666666666666,107.28,136.1111111111111
660,100.07600000000001,135.96599999999998,107.43,136.66666666666666
670,100.08200000000001,136.51533333333333,107.58,137.2222222222222
680,100.088,137.06466666666665,107.73,137.77777777777777
690,100.094,137.614,107.88,138.33333333333331
700,100.1,138.16333333333333,108.03,138.88888888888889
710,100.106,138.71266666666665,108.18,139.44444444444443
720,100.112,139.262,108.33,140.0
730,100.118,139.81133333333332,108.48,140.55555555555554
740,100.124,140.36066666666667,108.63,141.11111111111111
750,100.13,140.91,108.78,141.66666666666666
