Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0,267.0,267.0,267.0,267.0
150,267.0,267.0,267.0,267.0
300,267.0,267.0,267.0,267.0
450,267.0,267.0,267.0,267.0
600,267.0,267.0,267.0,267.0
750,267.0,267.0,267.0,267.0
900,267.0,267.0,267.0,267.0
1050,267.0,267.0,267.0,267.0
1200,267.0,267.0,267.0,267.0
1350,267.0,267.0,267.0,267.0
1350,267.0,267.0,267.0,267.0
1500,267.0,269.87,267.25,269.9791666666667
1650,267.0,272.8,267.65,272.9583333333333
1800,267.0,275.74,268.16,275.9375
1950,267.0,278.68,268.75,278.9166666666667
2100,267.02,281.63,269.4,281.8958333333333
2250,267.04,284.58,270.1,284.875
2400,267.09,287.53,270.86,287.8541666666667
2550,267.16,290.48,271.66,290.8333333333333
2700,267.26,293.44,272.5,293.8125
2850,267.39,296.39,273.39,296.7916666666667
3000,267.56,299.34,274.31,299.7708333333333
3150,267.77,302.3,275.28,302.75
3300,268.02,305.26,276.27,305.7291666666667
3450,268.3,308.21,277.3,308.7083333333333
3600,268.63,311.17,278.37,311.6875
3750,269.0,314.14,279.44,314.6666666666667
3900,269.4,317.09,280.54,317.6458333333333
4050,269.85,320.05,281.67,320.625
4200,270.33,323.01,282.84,323.6041666666667
4350,270.85,325.97,284.04,326.5833333333333
4500,271.41,328.92,285.27,329.5625
4650,272.0,331.88,286.53,332.5416666666667
4800,272.64,334.84,287.81,335.5208333333333
4950,273.3,337.8,289.13,338.5
5100,274.01,340.76,290.47,341.4791666666667
5250,274.75,343.73,291.84,344.4583333333333
5400,275.52,346.69,293.23,347.4375
5550,276.33,349.65,294.65,350.4166666666667
5700,277.18,352.61,296.09,353.3958333333333
5850,278.05,355.57,297.56,356.375
6000,278.96,358.55,299.02,359.3541666666667
6150,279.89,361.51,300.48,362.3333333333333
6300,280.85,364.48,301.98,365.3125
6450,281.84,367.44,303.5,368.2916666666666
6600,282.86,370.4,305.05,371.2708333333333
6750,283.9,373.36,306.62,374.25
6900,284.98,376.33,308.22,377.2291666666666
7050,286.08,379.29,309.83,380.2083333333333
7200,287.21,382.26,311.47,383.1875
7350,288.36,385.22,313.13,386.1666666666666
7500,289.55,388.18,314.81,389.1458333333333
7650,290.76,391.15,316.52,392.125
7800,292.0,394.12,318.24,395.1041666666666
7950,293.26,397.08,319.98,398.08333333333337
8100,294.55,400.05,321.74,401.0625
8250,295.86,403.04,323.49,404.0416666666666
8400,297.17,406.0,325.22,407.02083333333337
8550,298.5,408.97,326.97,410.0
8700,299.86,409.07,328.52,410.0
8850,301.24,409.1,329.93,410.0
9000,302.64,409.12,331.27,410.0
9150,304.05,409.14,332.56,410.0
9300,305.49,409.16,333.8,410.0
9450,306.93,409.18,335.0,410.0
9600,308.38,409.19,336.18,410.0
9750,309.82,409.21,337.32,410.0
9900,311.27,409.22,338.44,410.0
10050,312.7,409.23,339.54,410.0
10200,314.13,409.25,340.61,410.0
10350,315.54,409.26,341.67,410.0
10500,316.94,409.27,342.71,410.0
10650,318.32,409.28,343.73,410.0
10800,319.68,409.29,344.73,410.0
10950,321.03,409.3,345.72,410.0
11100,322.36,409.31,346.69,410.0
11250,323.67,409.32,347.64,410.0
11400,324.96,409.33,348.58,410.0
11550,326.24,409.34,349.51,410.0
11700,327.49,409.35,350.42,410.0
11850,328.73,409.36,351.32,410.0
12000,329.95,409.37,352.2,410.0
12150,331.16,409.38,353.07,410.0
12300,332.34,409.39,353.93,410.0
12450,333.51,409.4,354.77,410.0
12600,334.66,409.41,355.6,410.0
12750,335.79,409.42,356.42,410.0
12900,336.91,409.43,357.23,410.0
13050,338.0,409.44,358.02,410.0
13200,339.09,409.45,358.8,410.0
13350,340.15,409.45,359.57,410.0
13500,341.17,409.47,360.33,410.0
13650,342.15,409.48,361.06,410.0
13800,343.12,409.49,361.78,410.0
13950,344.07,409.49,362.48,410.0
14100,345.01,409.5,363.17,410.0
14250,345.94,409.51,363.85,410.0
14400,346.86,409.52,364.52,410.0
14550,347.77,409.52,365.18,410.0
14700,348.66,409.53,365.83,410.0
14850,349.54,409.54,366.46,410.0
15000,350.41,409.55,367.09,410.0
15150,351.27,409.55,367.71,410.0
15300,352.11,409.56,368.32,410.0
15450,352.95,409.56,368.93,410.0
15600,353.77,409.57,369.52,410.0
15750,354.58,409.58,370.1,410.0
